post_title,Serving Size,Servings,Calories,Total Fat,Saturated Fat,Trans. Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Sugars,Protein
"KruÁno pecivo, bela bageta",,,,1.43,0,,,0,55.7,,0.09,9.62
"KruÁno pecivo, bela kajzerica",,,,3.21,0,,,0,57,,0.99,10.2
"KruÁno pecivo, boboli",,,,3.64,0,,,0,52.1,,0.61,9.05
"KruÁno pecivo, ürna ßemlja",,,,1.33,0,,,0,52.8,,0.88,10.8
Ajdov kruh,,,,1.54,0,,,0,51.9,,0.12,9.34
"Ajdov kruh, z orehi",,,,9.79,0,,,0,43.4,,0.09,9.68
Tritikala moka,,,,1.8,0.3,,,0,73.1,,14.6,13.20
Jagode,,,,0.11,0,,,0,4.61,,5.07,0.53
¨eÁnje,,,,0.08,0,,,0,8.55,,9.913,1.4
ViÁnje,,,,0.5,0,,,0,9.88,,9.878,0.9
Breskve,,,,0.07,0,,,0,10.1,,6.455,0.83
Maline,,,,0.2,0,,,0,1.43,,6.208,0.31
Borovnice,,,,0.6,0,,,0,6.05,,6.046,0.6
Robidnice,,,,1,0,,,0,6.24,,6.24,1.2
HruÁke,,,,0.04,0,,,0,15.6,,9.11,0.31
"HruÁke, Tepka",,,,0.11,0,,,0,18.9,,12.79,0.34
Jabolke,,,,0.11,0,,,0,14.3,,11.35,0.16
"Jabolke, Carjeviü",,,,0.14,0,,,0,15.2,,12.38,0.17
"Jabolke, Êampanjska Reneta",,,,0.14,0,,,0,14.8,,10.65,0.13
Slive,,,,0.1,0,,,0,19.2,,12.53,0.7
"Grozdje, belo",,,,0.07,0,,,0,18.3,,15.458,0.36
"Drozdje, rdeüe",,,,0.06,0,,,0,23.9,,20.028,0.46
"LeÁniki, Istrska dolgoplodna leska",,,,62.1,0,,,0,15.9,,0.45,16.8
Orehi,,,,69.7,0,,,0,11,,2.14,14.4
"Pravi kostanj, kuhan",,,,2.33,0,,,0,54.1,,7.905,3.25
"Kaki, Vanilija",,,,0.08,0,,,0,17.5,,14.84,0.36
Kaki ,,,,0.1,0,,,0,17.7,,16.62,0.54
Fige,,,,0.26,0,,,0,18.9,,15.78,1.61
Êipek,,,,0,0,,,0,0,,9.52,0
Marelice,,,,0.13,0,,,0,8.54,,7.72,0.9
Kivi,,,,0.63,0,,,0,9.12,,9.125,1
Pomaranüa,,,,0.2,0,,,0,8.25,,8.28,1
Mandarina,,,,0.3,0,,,0,10.1,,10.1,0.7
Grenivka,,,,0.15,0,,,0,7.41,,7.41,0.6
Limona,,,,0.6,0,,,0,3.16,,3.16,0.7
Limeta,,,,2.4,0,,,0,1.9,,1.9,0.5
Ananas,,,,0.15,0,,,0,12.4,,12.4,0.46
Rozine,,,,0.55,0,,,0,68,,67.1,2.46
Suhi jabolüni krhlji,,,,1.63,0,,,0,55.4,,49.94,1.37
Suhe slive,,,,0.6,0,,,0,47.4,,40.87,2.3
Suhe marelice,,,,0.5,0,,,0,47.9,,43.27,5
"Brusnice, posuÁene, sladkane",,,,1.37,0.1,,,0,82.36,,65,0.07
"Radiü, rdeü",,,,0.18,0,,,0,5.22,,1.368,1.85
"Radiü, zelen",,,,0.2,0,,,0,4.94,,2.143,1.16
Motovilec,,,,0.2,0,,,0,3.34,,0.416,2.29
Ohrovt,,,,0.24,0,,,0,9.21,,1.753,3.95
"Ohrovt, kuhan",,,,0.11,0,,,0,4.74,,0.347,1.45
