koda,Zivilo,Posebnosti,Mascobe,Nasicene,Ogljikovi hidrati,Sladkorji,Beljakovine,Soli,
RI51,Meüarica,,4.4,0.31,0,0,19.4,0,
RI52,Tuna,,15.5,4.78,0,0,21.5,0,
RI53,Jegulja,,33,7.9,0,0,14.6,0,
RI54,Som,,11.3,3,0,0,15.3,0,
RI55,Êkoljke,,1.91,0.55,4.81,0,8.26,0,
RI56,Êkampi,,0.59,0.107,1.29,0,20.5,0,
RI57,Hobotnica,,1.05,0.227,2.21,0,14.9,0,
SO1,Sol,,0,0,0,0,0,100,
OR1,Oreh,,62.5,6.22,12.14,0,14.4,0,
OR2,Pinjoli,,50.7,7.8,14.2,0,24,0,
OR3,LeÁnik,,61.6,4.52,11.36,4.62,11.96,0,
OR4,Mandelj,,54.1,4.65,9.08,0,18.72,0,
OR5,AraÁid,,48.1,6.96,12.15,3.2,25.25,0,
OR6,Kostanj,,2.21,0.414,53,12.7,3.18,0,
OR7,Kokosov oreh,,36.3,31.75,4.8,0,44.8,0,
OR8,Pistacija,,51.6,7.25,15.66,0,5.9,0,
OR9,Makovo semena,,42.2,4.87,4.2,0,20,0,
OR10,Sezamovo semena,,50.4,7.55,10.2,0,17.72,0,
OR11,Sonüniüna semena,,49,5.2,12.33,0,22.47,0,
OR12,Buüna semena,,46,8.7,17.8,0,24.5,0,
ZI1,"Ajda, zrno",,2.78,0,70.5,2.615,11.4,0,
ZI2,"Ajda, zrno, ¨ebelica",,2.75,0,74.6,0,10.8,0,
ZI3,"Ajda, zrno, Dolenjska siva",,2.75,0,70.5,2.62,11.1,0,
ZI4,Ajdova kaÁa,,3.52,0,66,0.29,17.3,0,
ZI5,"Ajdova kaÁa, tatarska",,3.16,0,72.3,0,11.7,0,
ZI6,Ajdova moka,,2.73,0,72.9,3.825,10.3,0,
ZI7,"Ajdova moka, Dolenjska siva",,2.77,0,76.2,3.83,5.46,0,
ZI8,"Ajdova moka, Trdinova",,2,0,73.9,0,10.1,0,
ZI9,"Ajdova moka, tatarska",,2.44,0,73.6,0,10.3,0,
ZI10,"Jeümen, zrno",,2.7,0,73.6,1.71,10.3,0,
ZI11,JeÁprenj,,2,0,74.3,0,7.93,0,
ZI12,Jeümenova moka,,1.86,0,75,0,9.92,0,
ZI13,"Koruza, zrno",,5.61,0,75.1,1.39,7.87,0,
ZI14,"Koruza, zrno, Poltrdinka",,5.61,0,75.1,1.39,7.87,0,
ZI15,Koruzni zdrob,,0.75,0,79.6,0,7.41,0,
ZI16,Koruzni zdrob (bela polenta),,1.46,0,80.2,0,6.42,0,
ZI17,Koruzni zdrob (instant polenta),,0.21,0,80.5,0,7.69,0,
ZI18,Koruzna moka,,4.32,0,76.1,0,7.71,0,
ZI19,"Koruzna moka, Poltrdinka",,4.95,0,74.8,0,7.92,0,
ZI20,Ovseni kosmiüi,,7.5,0,69.2,0.7,11.5,0,
ZI21,"Pira, zrno",,3.03,0,70.1,0,13.9,0,
ZI22,Pirina kaÁa,,2.73,0,70.8,0,13.2,0,
ZI23,Pirin zdrob,,2.64,0,70.2,0,13.4,0,
ZI24,"Pirina moka, polnozrnata ",,2.67,0,70.7,1.72,13.9,0,
ZI25,Pirina moka ,,2.76,0,70.2,0.757,13.5,0,
ZI26,"Proso, zrno ",,3.71,0,73.8,1.45,9.96,0,
ZI27,"Proso, zrno, Sonüek ",,3.37,0,74.8,0,9.38,0,
ZI28,Prosena kaÁa ,,4.28,0,70.8,0,12.5,0,
ZI29,"PÁenica, zrno",,2.29,0,72.5,0.642,13.2,0,
ZI30,PÁeniüni zdrob (tip 400) ,,1.06,0,75.9,1.66,10.3,0,
ZI31,PÁeniüna moka (polnozrnata) ,,1.32,0,74.2,0,12.2,0,
ZI32,PÁeniüna moka (tip 1100) ,,1.63,0,74.6,0,11.6,0,
ZI33,PÁeniüna moka (tip 850) ,,1.6,0,74.3,0.69,12.5,0,
ZI34,PÁeniüna moka (tip 500),,1.38,0,76.1,0,11.2,0,
ZI35,PÁeniüna moka (tip 400) ,,1.04,0,76.7,0.23,10.5,0,
ZI36,"Rß, zrno",,1.92,0,76.7,1.22,9.73,0,
ZI37,Rßena moka,,1.68,0,79,2.606,7.81,0,
ZI38,"Rßeni kosmiüi, polnozrnati ",,0.34,0,81.3,2.692,7.55,0,
ZI39,Rßeni kosmiüi,,1.81,0,78.5,2.785,8.69,0,
ZI40,"Riß, bel, poliran",,0.62,0,77.7,0.15,6.83,0,
ZI41,"Riß, rjav, nepoliran ",,2.2,0,74.1,0.6,7.22,0,
ZI42,Rißeva moka,,0.65,0,79.6,0,6.68,0,
ZI43,Rißev Ákrob,,0,0,85,0,0.76,0,
ZI44,Francoska Átruca,,3.19,0,50.4,2.87,10.1,0,
ZI45,Polbeli kruh,,1.33,0,47.2,2.845,9.65,0,
ZI46,¨rni kruh,,1.66,0,45.7,3.12,9.7,0,
ZI47,"¨rni kruh, s krompirjevimi kosmiüi",,4.35,0,41.2,5.88,8.09,0,
ZI48,Rßeni kruh,,1.92,0,49.4,2.096,6.76,0,
ZI49,"Rßeni kruh, s kefirjem",,2.63,0,46.8,1.98,7.53,0,
ZI50,"Rßeni meÁani kruh ""GLYX""",,2.05,0,45.5,1.66,8.81,0,
ZI51,"Rßeni kruh ""SVIT""",,2.29,0,43.3,2.58,9.15,0,
ZI52,Ovseni meÁani kruh,,3.02,0,45.3,3.201,9.74,0,
ZI53,Koruzni kruh,,1.75,0,50,5.586,8.25,0,
ZI54,"KruÁno pecivo, Êtruüka s sirom",,7.47,0,44.2,2.953,15.2,0,
ZI55,Pirin meÁani kruh,,5.77,0,42.7,4,10.5,0,
ZI56,"Pirin kruh, z jabolünimi krhlji",,6.13,0,39.5,4.02,10.9,0,
ZI57,"Prepeüenec, Beli",,5.68,0,74.1,6.785,12.7,0,
ZI58,"Prepeüenec, Veü ßit",,6.01,0,71.1,4.22,13.8,0,
ZI59,"PÁeniüni meÁani kruh, Z manj soli",,1.1,0,46.2,2.495,10.3,0,
ZI60,Belokranjska pogaüa,,1.32,0,47.5,2.337,7.88,0,
ZI61,"PÁeniüni meÁani kruh, S semeni",,8.32,0,45,3.017,11.8,0,
ZI62,"PÁeniüni meÁani kruh ""Jelenov""",,2.12,0,44.9,2.88,8.9,0,
ZI63,"PÁeniüni meÁani kruh ""Krjavelj""",,2.73,0,44.1,0.46,9.15,0,
ZI64,"KruÁno pecivo, bela bageta",,1.43,0,55.7,0.09,9.62,0,
ZI65,"KruÁno pecivo, bela kajzerica",,3.21,0,57,0.99,10.2,0,
ZI66,"KruÁno pecivo, boboli",,3.64,0,52.1,0.61,9.05,0,
ZI67,"KruÁno pecivo, ürna ßemlja",,1.33,0,52.8,0.88,10.8,0,
ZI68,Ajdov kruh,,1.54,0,51.9,0.12,9.34,0,
ZI69,"Ajdov kruh, z orehi",,9.79,0,43.4,0.09,9.68,0,
ZI70,Tritikala moka,,1.8,0.3,73.1,14.6,13.20,0,
SA1,Jagode,,0.11,0,4.61,5.07,0.53,0,
SA2,¨eÁnje,,0.08,0,8.55,9.913,1.4,0,
SA3,ViÁnje,,0.5,0,9.88,9.878,0.9,0,
SA4,Breskve,,0.07,0,10.1,6.455,0.83,0,
SA5,Maline,,0.2,0,1.43,6.208,0.31,0,
SA6,Borovnice,,0.6,0,6.05,6.046,0.6,0,
SA7,Robidnice,,1,0,6.24,6.24,1.2,0,
SA8,HruÁke,,0.04,0,15.6,9.11,0.31,0,
SA9,"HruÁke, Tepka",,0.11,0,18.9,12.79,0.34,0,
